report_date,campaign_id,spend,impressions,clicks,conversion,complete_payment,value_per_complete_payment,derived_complete_payment_value,complete_payment_roas
2026-04-18,1854347729644690,475687,149623,1527,0,0,0,0,0
2026-04-18,1854918885396689,323449,134011,1493,0,0,0,0,0
2026-04-18,1856156648605858,99645,39827,4531,1,1,405000,405000,4.06
2026-04-18,1856728035726529,0,0,0,0,0,0,0,0
2026-04-18,1858788275666081,99615,37288,1726,1,1,485000,485000,4.87
2026-04-19,1854347729644690,480487,107736,1144,0,0,0,0,0
2026-04-19,1854918885396689,276237,99207,1730,2,2,62626,125252,0.45
2026-04-19,1856156648605858,100082,42564,3979,0,0,0,0,0
2026-04-19,1858788275666081,100122,59355,2173,0,0,0,0,0
2026-04-20,1854347729644690,481122,164812,2592,0,0,0,0,0
2026-04-20,1854918885396689,276571,129106,1687,2,2,143350,286700,1.04
2026-04-20,1856156648605858,99807,35065,3721,0,0,0,0,0
2026-04-20,1856728035726529,0,0,0,0,0,0,0,0
2026-04-20,1858788275666081,100074,36992,2088,2,2,221790,443580,4.43
2026-04-21,1854347729644690,480488,179367,2599,0,0,0,0,0
2026-04-21,1854918885396689,276271,114407,999,1,1,510000,510000,1.85
2026-04-21,1856156648605858,100175,35701,3001,1,1,484500,484500,4.84
2026-04-21,1856728035726529,0,0,0,0,0,0,0,0
2026-04-21,1858788275666081,100042,51540,1514,0,0,0,0,0
