report_date,campaign_id,spend,impressions,clicks,conversion,cta_conversion,vta_conversion,complete_payment,value_per_complete_payment,derived_complete_payment_value,complete_payment_roas,cta_purchase,evta_purchase,vta_purchase,cost_per_cta_purchase,cost_per_evta_purchase,cost_per_vta_purchase
2026-05-07,1854347729644690,75591,48495,2627,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-07,1854918885396689,46311,28425,2501,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-07,1856156648605858,18901,3811,624,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-07,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-07,1858788275666081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-08,1854347729644690,42,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-08,1854918885396689,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-08,1856156648605858,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-08,1858788275666081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-09,1854347729644690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-09,1854918885396689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-09,1856156648605858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-09,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-09,1858788275666081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-10,1854347729644690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-10,1854918885396689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-10,1856156648605858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-10,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-10,1858788275666081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-11,1854347729644690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-11,1854918885396689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-11,1856156648605858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-11,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-11,1858788275666081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-12,1854347729644690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-12,1854918885396689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-12,1856156648605858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-12,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-12,1858788275666081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
