광고 이름,기본 상태,보조 상태,광고 그룹 ID,광고 그룹 이름,광고 ID,비용,CPC(목적지),CPM,노출수,클릭수(목적지),CTR(목적지),전환수,Conversions [SAN],전환당 비용,Cost per conversion [SAN],"Conversion rate (CVR, clicks) [SAN]",전환율(CVR),Conversion rate (CVR) [SAN],결과,결과당 비용,결과율,딥 퍼널 결과,딥 퍼널 결과당 비용,딥 퍼널 결과 비율,Date Created,캠페인 이름,캠페인 ID,순 비용,"1,000명 도달당 비용",전환 시간별 전환당 비용,전환 시간별 결과당 비용(CPR),결과당 비용(SKAN),고유 콘텐츠 조회 수(모든 채널),고유 콘텐츠 조회당 비용(모든 채널),총 콘텐츠 조회 수(모든 채널),콘텐츠 조회당 비용(모든 채널),콘텐츠 조회당 금액(모든 채널),콘텐츠 조회 총액(모든 채널),고유 체크아웃 수(모든 채널),고유 체크아웃당 비용(모든 채널),총 체크아웃 수(모든 채널),체크아웃당 비용(모든 채널),체크아웃당 금액(모든 채널),체크아웃 총액(모든 채널),고유 결제 정보 추가 수(모든 채널),고유 결제 정보 추가당 비용(모든 채널),총 결제 정보 추가 수(모든 채널),결제 정보 추가당 비용(모든 채널),고유 구매 수(모든 채널),고유 구매당 비용(모든 채널),총 구매 수(모든 채널),구매당 비용(모든 채널),구매당 금액(모든 채널),총 구매 수(모든 채널),페이지 조회(웹사이트),페이지 조회당 비용(웹사이트),페이지 조회 비율(웹사이트),페이지 조회당 가치(웹사이트),총 페이지 조회 가치(웹사이트),버튼 클릭(웹사이트),버튼 클릭당 비용(웹사이트),고유 버튼 클릭률(웹사이트),버튼 클릭당 가치(웹사이트),버튼 클릭 가치(웹사이트),문의(웹사이트),문의당 비용(웹사이트),고유 문의 비율(웹사이트),문의당 가치(웹사이트),문의 가치(웹사이트),등록(웹사이트),등록당 비용(웹사이트),고유 등록률(웹사이트),등록당 가치(웹사이트),등록 가치(웹사이트),콘텐츠 조회(웹사이트),콘텐츠 조회당 비용(웹사이트),고유 콘텐츠 조회 비율(웹사이트),콘텐츠 조회당 가치(웹사이트),콘텐츠 조회 가치(웹사이트),장바구니에 추가(웹사이트),장바구니에 추가당 비용(웹사이트),고유 장바구니에 추가 비율(웹사이트),장바구니에 추가당 가치(웹사이트),장바구니에 추가 가치(웹사이트),주문하기(웹사이트),주문하기당 비용(웹사이트),고유 주문하기 비율(웹사이트),주문하기당 가치(웹사이트),주문하기 가치(웹사이트),결제 시작(웹사이트),결제 시작당 비용(웹사이트),고유 결제 시작 비율(웹사이트),결제 시작당 가치(웹사이트),결제 시작 가치(웹사이트),결제 정보 추가(웹사이트),결제 정보 추가당 비용(웹사이트),고유 결제 정보 추가 비율(웹사이트),결제 정보 추가당 가치(웹사이트),결제 정보 추가 가치(웹사이트),검색(웹사이트),검색당 비용(웹사이트),고유 검색 비율(웹사이트),검색당 가치(웹사이트),검색 가치(웹사이트),다운로드(웹사이트),다운로드당 비용(웹사이트),고유 다운로드 비율(웹사이트),다운로드당 가치(웹사이트),다운로드 가치(웹사이트),위시리스트에 추가(웹사이트),위시리스트에 추가당 비용(웹사이트),고유 위시리스트에 추가 비율(웹사이트),위시리스트에 추가당 가치(웹사이트),위시리스트에 추가 가치(웹사이트),구독(웹사이트),구독당 비용(웹사이트),고유 구독률(웹사이트),구독당 가치(웹사이트),구독 가치(웹사이트),3일 차 광고 수익 ROAS,3일 차 광고 수익,5일 차 광고 수익 ROAS,5일 차 광고 수익,ROAS(상점),VTA 구매 ROAS(웹사이트),CTA 구매 ROAS(웹사이트),보조 소스,기본 소스,기여 소스,통화
바이오 밸런스,활성,--,1858788375333426,건강기능식품 광고그룹,1858789299762209,1360378,56,1945,699343,24102,0.0345,16,16,85024,85024,0.0007,0.0,0.0,16,85024,0.0,-,-,-,2026-03-05 12:05:05,건강기능식품 스마트+캠페인,1858788275666081,1360378,6759,85024,85024,0,0,0,39132,35,46830,1832557000,0,0,35,38868,185599,6495975,0,0,10,136038,0,0,16,85024,256076,4097208,26885,51,1.1155,0,0,0,0,0.0,0,0,0,0,0.0,0,0,12,113365,0.0005,1,12,39132,35,1.6236,46830,1832557000,16,85024,0.0007,122450,1959200,0,0,0.0,0,0,35,38868,0.0015,185599,6495975,10,136038,0.0004,251950,2519500,2,680189,0.0001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.00,0,0.00,0,0.00,1.08,1.93,"AI 생성, 크리에이티브 라이브러리","자동 생성 콘텐츠, 자체 콘텐츠",-,KRW
방탄젤리,활성,--,1858788375333426,건강기능식품 광고그룹,1858789066898866,2838340,68,1214,2338010,41849,0.0179,58,58,48937,48937,0.0014,0.0,0.0,58,48937,0.0,-,-,-,2026-03-05 12:00:10,건강기능식품 스마트+캠페인,1858788275666081,2838340,4062,48937,48937,0,0,0,91115,31,31234,2845849550,0,0,124,22890,277338,34389910,0,0,53,53554,0,0,58,48937,384158,22281142,46556,61,1.1125,0,0,0,0,0.0,0,0,0,0,0.0,0,0,28,101369,0.0007,1,28,91115,31,2.1772,31234,2845849550,34,83481,0.0008,150371,5112600,0,0,0.0,0,0,124,22890,0.003,277338,34389910,53,53554,0.0013,407364,21590300,4,709585,0.0001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.00,0,0.00,0,0.00,1.50,5.99,"AI 생성, 크리에이티브 라이브러리","자동 생성 콘텐츠, 자체 콘텐츠",-,KRW
리셋데이,일시 중지, ; 크리에이티브 부분 승인됨,1858788375333426,건강기능식품 광고그룹,1858788379383969,200988,83,1013,198336,2415,0.0122,1,1,200988,200988,0.0004,0.0,0.0,1,200988,0.0,-,-,-,2026-03-05 11:56:11,건강기능식품 스마트+캠페인,1858788275666081,200988,1901,200988,200988,0,0,0,7342,27,38328,281402100,0,0,2,100494,28800,57600,0,0,1,200988,0,0,1,200988,245000,245000,2431,83,1.0066,0,0,0,0,0.0,0,0,0,0,0.0,0,0,1,200988,0.0004,1,1,7342,27,3.0402,38328,281402100,3,66996,0.0012,209667,629000,0,0,0.0,0,0,2,100494,0.0008,28800,57600,1,200988,0.0004,260000,260000,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.00,0,0.00,0,0.00,0.00,1.22,"AI 생성, 크리에이티브 라이브러리","자동 생성 콘텐츠, 자체 콘텐츠",-,KRW
연뜰살뜰 종대사 음과검 할인 링크,활성,--,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,11407130,64,1690,6748114,178653,0.0265,126,126,90533,90533,0.0007,0.0,0.0,126,90533,0.0,-,-,-,2026-02-12 10:21:57,음과검 스마트+ 캠페인,1854347729644690,11389940,7889,90533,90533,0,0,0,396661,29,476686,189082564700,0,0,525,21728,698533,366729881,0,0,112,101849,0,0,126,90533,656806,82757604,167247,68,0.9362,0,0,0,0,0.0,0,0,0,0,0.0,0,0,43,265282,0.0002,1,43,396661,29,2.2203,476686,189082564700,173,65937,0.001,669749,115866600,0,0,0.0,0,0,525,21728,0.0029,698533,366729881,112,101849,0.0006,788256,88284700,2,5703565,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.00,0,0.00,0,0.00,0.46,6.58,"크리에이티브 라이브러리, AI 생성","자체 콘텐츠, 자동 생성 콘텐츠",-,KRW
260210_종합호르몬균형 분석 -1,일시 중지,캠페인이 일시 중지됨,1856728084965490,호르몬 검사 광고 그룹,1856729446998145,1246501,44,1987,627206,28559,0.0455,7,7,178072,178072,0.0002,0.0,0.0,7,178072,0.0,-,-,-,2026-02-10 18:30:08,호르몬 검사 캠페인,1856728035726529,1230919,6315,178072,178072,0,0,0,66820,19,160152,10701348630,0,0,17,73324,341653,5808102,0,0,5,249300,0,0,7,178072,81222,568551,36202,34,1.2676,0,0,0,0,0.0,0,0,0,0,0.0,0,0,8,155813,0.0003,1,8,66820,19,2.3397,160152,10701348630,13,95885,0.0005,315069,4095900,0,0,0.0,0,0,17,73324,0.0006,341653,5808102,5,249300,0.0002,334660,1673300,2,623251,0.0001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.00,0,0.00,0,0.00,0.23,0.03,"AI 생성, 크리에이티브 라이브러리","자동 생성 콘텐츠, 자체 콘텐츠",-,KRW
260210_스트레스 노화 분석 -1,일시 중지,캠페인이 일시 중지됨; 크리에이티브 부분 승인됨,1856728084965490,호르몬 검사 광고 그룹,1856728116870433,991845,58,1106,897128,17121,0.0191,14,14,70846,70846,0.0008,0.0,0.0,14,70846,0.0,-,-,-,2026-02-10 18:18:07,호르몬 검사 캠페인,1856728035726529,910029,4974,70846,70846,0,0,0,50248,20,110999,5577467500,0,0,13,76296,446685,5806900,0,0,5,198369,0,0,14,70846,238000,3332000,21663,46,1.2653,0,0,0,0,0.0,0,0,0,0,0.0,0,0,8,123981,0.0005,1,8,50248,20,2.9349,110999,5577467500,11,90168,0.0006,265445,2919900,0,0,0.0,0,0,13,76296,0.0008,446685,5806900,5,198369,0.0003,815480,4077400,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.00,0,0.00,0,0.00,0.49,2.17,"AI 생성, 크리에이티브 라이브러리","자동 생성 콘텐츠, 자체 콘텐츠",-,KRW
영양중금속분석 스마트+ 광고,활성,--,1856156699384882,영양중금속분석 광고그룹,1856156158741666,7289211,35,2282,3194389,207691,0.065,100,100,72892,72892,0.0005,0.0,0.0,100,72892,0.0,-,-,-,2026-02-04 10:47:17,영양중금속분석 스마트+ 캠페인,1856156648605858,7166971,12865,72892,72892,0,0,0,409723,18,96627,39590123130,0,0,123,59262,309016,38008951,0,0,50,145784,0,0,100,72892,243171,24317060,240418,30,1.1576,0,0,0,0,0.0,0,0,0,0,0.0,0,0,42,173553,0.0002,1,42,409723,18,1.9728,96627,39590123130,43,169517,0.0002,190365,8185700,0,0,0.0,0,0,123,59262,0.0006,309016,38008951,50,145784,0.0002,373258,18662900,5,1457842,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.00,0,0.00,0,0.00,0.53,2.19,"AI 생성, 크리에이티브 라이브러리","자동 생성 콘텐츠, 자체 콘텐츠",-,KRW
연뜰살뜰 종대사 공구,활성,--,1854918914982210,종대사 스마트+ 광고그룹,1855718193842226,15945800,57,1676,9514255,279012,0.0293,147,147,108475,108475,0.0005,0.0,0.0,147,108475,0.0,-,-,-,2026-01-30 14:35:12,종합대사기능 분석 스마트+캠페인,1854918885396689,15779106,9797,108475,108475,0,0,0,487081,33,255765,124578122060,0,0,261,61095,406186,106014441,0,0,78,204433,0,0,147,108475,235150,34567068,332247,48,1.1908,0,0,0,0,0.0,0,0,0,0,0.0,0,0,96,166102,0.0003,1,96,487081,33,1.7457,255765,124578122060,120,132882,0.0004,349865,41983800,0,0,0.0,0,0,261,61095,0.0009,406186,106014441,78,204433,0.0003,338558,26407500,9,1771756,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.00,0,0.00,0,0.00,0.56,1.07,"AI 생성, 크리에이티브 라이브러리","자동 생성 콘텐츠, 자체 콘텐츠",-,KRW
종합 대사기능 분석 광고,활성,--,1854918914982210,종대사 스마트+ 광고그룹,1854918964879665,4975559,54,4956,1003860,91319,0.091,95,95,52374,52374,0.001,0.0001,0.0001,95,52374,0.0001,-,-,-,2026-01-21 18:53:41,종합대사기능 분석 스마트+캠페인,1854918885396689,4813702,19483,52374,52374,0,0,0,219734,23,209321,45994961700,0,0,189,26326,889274,168072847,0,0,56,88849,0,0,95,52374,1268192,120478200,105511,47,1.1554,0,0,0,0,0.0,0,0,0,0,0.0,0,0,23,216329,0.0003,1,23,219734,23,2.4062,209321,45994961700,93,53501,0.001,389570,36230000,0,0,0.0,0,0,189,26326,0.0021,889274,168072847,56,88849,0.0006,2087020,116873100,5,995112,0.0001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.00,0,0.00,0,0.00,0.34,23.74,크리에이티브 라이브러리,자체 콘텐츠,-,KRW
광고 이름2026-01-15 11:28:27,활성,--,1854348023698738,음과검 스마트+ 광고그룹,1854348012640609,24884049,419,1917,12980526,59418,0.0046,302,302,82398,82398,0.0051,0.0,0.0,302,82398,0.0,-,-,-,2026-01-15 11:29:42,음과검 스마트+ 캠페인,1854347729644690,24297389,13987,82398,82398,0,0,0,699591,36,248956,174167336770,0,0,1359,18311,914394,1242661286,0,0,216,115204,0,0,302,82398,2465601,744611381,120403,207,2.0264,0,0,0,0,0.0,0,0,0,0,0.0,0,0,153,162641,0.0026,1,153,699591,36,11.7741,248956,174167336770,836,29766,0.0141,430564,359951200,0,0,0.0,0,0,1359,18311,0.0229,914394,1242661286,216,115204,0.0036,3507301,757577100,9,2764894,0.0002,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.00,0,0.00,0,0.00,0.55,29.31,"크리에이티브 라이브러리, AI 생성","자체 콘텐츠, 자동 생성 콘텐츠",-,KRW
