report_date,campaign_id,campaign_name,adgroup_id,adgroup_name,ad_id,ad_name,currency,spend,impressions,destination_clicks,conversions,conversion_time_conversions,purchase_count,purchase_value,platform_roas,vta_purchase_count,cta_purchase_count,evta_purchase_count,vta_purchase_value,cta_purchase_value,evta_purchase_value,vta_purchase_roas,cta_purchase_roas,evta_purchase_roas,source_file,attribution_window_note
2026-03-20,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1854348012640609,광고 이름2026-01-15 11:28:27,KRW,600000.0,419425,1352,2,1,2,279300.0,0.4655,1,0,1,245000.0,0.0,0.0,0.408333,0.0,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-03-23,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1854348012640609,광고 이름2026-01-15 11:28:27,KRW,600000.0,354027,1381,5,7,5,5250000.0,8.75,0,5,0,0.0,5250000.0,0.0,0.0,8.75,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-03-21,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1854348012640609,광고 이름2026-01-15 11:28:27,KRW,595499.0,349378,1318,1,2,1,459000.0,0.770782,1,0,0,459000.0,0.0,0.0,0.770782,0.0,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-03-26,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1854348012640609,광고 이름2026-01-15 11:28:27,KRW,595480.0,171820,1579,8,8,8,4905980.0,8.238698,1,6,1,245000.0,4500000.0,0.0,0.411433,7.556929,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-03-24,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1854348012640609,광고 이름2026-01-15 11:28:27,KRW,595331.0,155011,788,7,6,7,26005400.0,43.682254,1,6,0,502200.0,25503200.0,0.0,0.843564,42.83869,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-03-22,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1854348012640609,광고 이름2026-01-15 11:28:27,KRW,486089.0,330022,1228,3,1,3,1803400.0,3.71002,1,2,0,58400.0,1745000.0,0.0,0.120143,3.589878,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-04,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,481608.0,233705,23594,7,6,7,7594000.0,15.76801,0,7,0,0.0,7594000.0,0.0,0.0,15.76801,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-07,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,480244.0,149588,12460,6,13,6,1069943.0,2.227915,1,4,1,0.0,824943.0,0.0,0.0,1.717758,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-03-31,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,470014.0,147441,2701,11,4,11,5375470.0,11.43683,4,5,2,0.0,4848900.0,0.0,0.0,10.316501,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-14,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,466108.0,166872,3129,0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-13,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,465265.0,211613,6817,2,3,2,479000.0,1.029521,0,2,0,0.0,479000.0,0.0,0.0,1.029521,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-12,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,454272.0,224156,4352,1,2,1,268200.0,0.590395,1,0,0,268200.0,0.0,0.0,0.590395,0.0,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-10,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,454263.0,185738,10125,1,3,1,243816.0,0.536729,1,0,0,243816.0,0.0,0.0,0.536729,0.0,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-02,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,449843.0,237632,6277,8,10,8,7828022.0,17.401676,1,6,1,143022.0,7440000.0,0.0,0.317938,16.539104,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-08,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,423195.0,155541,5702,5,6,5,1349700.0,3.18931,2,1,2,377500.0,459000.0,0.0,0.892024,1.084606,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-11,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,420244.0,153066,12796,2,0,2,479000.0,1.139814,2,0,0,479000.0,0.0,0.0,1.139814,0.0,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-16,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,406550.0,186230,4478,1,2,1,268200.0,0.659697,1,0,0,268200.0,0.0,0.0,0.659697,0.0,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-05,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,392869.0,221596,21686,1,2,1,95654.0,0.243476,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-15,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,391945.0,157621,6150,2,3,2,502200.0,1.281302,1,0,1,268200.0,0.0,0.0,0.68428,0.0,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-17,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,370634.0,117663,2695,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-03,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,360844.0,142412,5388,2,3,2,2878000.0,7.975746,0,2,0,0.0,2878000.0,0.0,0.0,7.975746,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-03-19,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1854348012640609,광고 이름2026-01-15 11:28:27,KRW,332721.0,155556,948,1,1,1,234000.0,0.703292,1,0,0,234000.0,0.0,0.0,0.703292,0.0,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-03-28,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1854348012640609,광고 이름2026-01-15 11:28:27,KRW,327532.0,111087,548,5,5,5,4506663.0,13.759459,1,4,0,6663.0,4500000.0,0.0,0.020343,13.739116,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-06,1854918885396689,종합대사기능 분석 스마트+캠페인,1854918914982210,종대사 스마트+ 광고그룹,1855718193842226,연뜰살뜰 종대사 공구,KRW,325607.0,179955,1679,4,1,4,762984.0,2.343267,0,3,1,0.0,702000.0,0.0,0.0,2.155973,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-03-30,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1854348012640609,광고 이름2026-01-15 11:28:27,KRW,321589.0,96195,897,5,5,5,11495000.0,35.744382,0,5,0,0.0,11495000.0,0.0,0.0,35.744382,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-14,1854918885396689,종합대사기능 분석 스마트+캠페인,1854918914982210,종대사 스마트+ 광고그룹,1855718193842226,연뜰살뜰 종대사 공구,KRW,318809.0,141228,2223,3,1,3,455623.0,1.429141,3,0,0,455623.0,0.0,0.0,1.429141,0.0,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-06,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,310595.0,151929,11229,14,5,14,0.0,0.0,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-03-23,1854918885396689,종합대사기능 분석 스마트+캠페인,1854918914982210,종대사 스마트+ 광고그룹,1855718193842226,연뜰살뜰 종대사 공구,KRW,304935.0,120361,3509,4,4,4,560114.0,1.836831,2,1,1,234000.0,92114.0,0.0,0.767377,0.302077,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-03-25,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1854348012640609,광고 이름2026-01-15 11:28:27,KRW,294957.0,65044,460,5,5,5,7767614.0,26.334734,2,3,0,267614.0,7500000.0,0.0,0.907298,25.427435,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-03-30,1854347729644690,음과검 스마트+ 캠페인,1854348023698738,음과검 스마트+ 광고그룹,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,KRW,278411.0,92474,4004,5,4,5,24723000.0,88.800371,0,5,0,0.0,24723000.0,0.0,0.0,88.800371,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
2026-04-07,1854918885396689,종합대사기능 분석 스마트+캠페인,1854918914982210,종대사 스마트+ 광고그룹,1855718193842226,연뜰살뜰 종대사 공구,KRW,275495.0,130068,1083,1,1,1,245000.0,0.889308,0,1,0,0.0,245000.0,0.0,0.0,0.889308,0.0,raw/20260319_20260417_daily_ad_report.csv,TikTok Ads Manager CSV export has no attribution-window column; project assumes TikTok default click 7d / view 1d.
