 ,브랜드명,관리메모,랜딩페이지 URL*,"소스*
utm_source","매체*
utm_medium","캠페인*
utm_campaign","콘텐츠
utm_content","키워드 {query}
utm_term",랜딩페이지 URL + UTM 파라미터,단축 URL
20231128,바이오컴,노젝트 상우노출 원고작업,https://www.biocom.kr/mineraltest_store/?idx=6,naver,blog,noject,mineraltest_2311,,https://www.biocom.kr/mineraltest_store/?idx=6&utm_source=naver&utm_medium=blog&utm_campaign=noject&utm_content=mineraltest_2311,https://bit.ly/47RpQwr
20231128,더클린커피,레뷰 드립백 2차 블로그 체험단 ,https://thecleancoffee.com/thecleancoffee_store/?idx=24,revu,blog,post,mineraltest_2311,,https://thecleancoffee.com/thecleancoffee_store/?idx=24&utm_source=revu&utm_medium=blog&utm_campaign=post&utm_content=mineraltest_2311,
20231128,더클린커피,링블 쿠팡+블로그 체험단(자사몰)_마이데몬 정구원,https://thecleancoffee.com/thecleancoffee_store/?idx=24,ringble,blog,post,dripbag_exp_colombia,,https://thecleancoffee.com/thecleancoffee_store/?idx=24&utm_source=ringble&utm_medium=blog&utm_campaign=post&utm_content=dripbag_exp_colombia,
20231128,더클린커피,링블 쿠팡+블로그 체험단(자사몰)_마이데몬 도도희,https://thecleancoffee.com/thecleancoffee_store/?idx=24,ringble,blog,post,dripbag_exp_ethiopia,,https://thecleancoffee.com/thecleancoffee_store/?idx=24&utm_source=ringble&utm_medium=blog&utm_campaign=post&utm_content=dripbag_exp_ethiopia,
20231128,더클린커피,링블 쿠팡+블로그 체험단(자사몰)_드립커피 세트,https://thecleancoffee.com/thecleancoffee_store/?idx=24,ringble,blog,post,dripbag_exp_kyena,,https://thecleancoffee.com/thecleancoffee_store/?idx=24&utm_source=ringble&utm_medium=blog&utm_campaign=post&utm_content=dripbag_exp_kyena,
20231128,더클린커피,링블 쿠팡+블로그 체험단(자사몰)_드립백 리뷰,https://thecleancoffee.com/thecleancoffee_store/?idx=24,ringble,blog,post,dripbag_exp_decaffein,,https://thecleancoffee.com/thecleancoffee_store/?idx=24&utm_source=ringble&utm_medium=blog&utm_campaign=post&utm_content=dripbag_exp_decaffein,
20231129,바이오컴,다이어트 주아 영양중금속 랜딩페이지 ,https://biocom.kr/mineraltest_store/?idx=6,partner,group_purchase,group_purchase,diet_joo_ah_toxic,,https://biocom.kr/mineraltest_store/?idx=6&utm_source=partner&utm_medium=group_purchase&utm_campaign=group_purchase&utm_content=diet_joo_ah_toxic,
20231129,바이오컴,[리마인드] 블랙프라이데이 crm 80%,https://biocom.kr/652,kakao,message,crm,black_friday_80_remind,,https://biocom.kr/652?utm_source=kakao&utm_medium=message&utm_campaign=crm&utm_content=black_friday_80_remind,
20231129,더클린커피,[리마인드] 블랙프라이데이 crm 1+1,https://thecleancoffee.com/thecleancoffee_store/?idx=24,kakao,message,crm,black_friday_dripbag_remind,,https://thecleancoffee.com/thecleancoffee_store/?idx=24&utm_source=kakao&utm_medium=message&utm_campaign=crm&utm_content=black_friday_dripbag_remind,
20231129,더클린커피,https://biocom.kr/shop_view/?idx=173,https://thecleancoffee.com/thecleancoffee_store/?idx=23,kakao,message,crm,black_friday_set_remind,,https://thecleancoffee.com/thecleancoffee_store/?idx=23&utm_source=kakao&utm_medium=message&utm_campaign=crm&utm_content=black_friday_set_remind,
20231205,바이오컴,[바이오컴] 블프 로그인 이벤트 적립금 지급 완료 ,https://biocom.kr/shop_mypage/?m2=point_list,aligo,message,aligo,Login event_biocom,,https://biocom.kr/shop_mypage/?m2=point_list&utm_source=aligo&utm_medium=message&utm_campaign=aligo&utm_content=Login%20event_biocom,https://bit.ly/47Ggnsl
20231205,더클린커피,[더클린커피] 블프 로그인 이벤트 적립금 지급 완료,https://thecleancoffee.com/shop_mypage/?m2=point_list,aligo,message,aligo,Login event_coffee,,https://thecleancoffee.com/shop_mypage/?m2=point_list&utm_source=aligo&utm_medium=message&utm_campaign=aligo&utm_content=Login%20event_coffee,https://bit.ly/3GrLMCP
20231205,바이오컴,[바이오컴] 썬파이버 정기구독 오픈 crm,https://biocom.kr/shop_view/?idx=208,kakao,message,crm,sunfiber_sunscribe,,https://biocom.kr/shop_view/?idx=208&utm_source=kakao&utm_medium=message&utm_campaign=crm&utm_content=sunfiber_sunscribe,
20231208,바이오컴,[바이오컴] 레뷰 바이오밸런스 체험단 ,https://biocom.kr/supplements/?idx=97,revu_bio,naver_blog_bio,post_bio,biobalance_exp,,https://biocom.kr/supplements/?idx=97&utm_source=revu_bio&utm_medium=naver_blog_bio&utm_campaign=post_bio&utm_content=biobalance_exp,
20231208,바이오컴,[바이오컴] 썬파이버 정기배송 카테고리 배너 PC,https://biocom.kr/shop_view/?idx=208,home,main,banner,sunfiber_sub pc,,https://biocom.kr/shop_view/?idx=208&utm_source=home&utm_medium=main&utm_campaign=banner&utm_content=sunfiber_sub%20pc,
20231208,바이오컴,[바이오컴] 썬파이버 정기배송 카테고리 배너 MO,https://biocom.kr/shop_view/?idx=208,home,main,banner,sunfiber_sub mo,,https://biocom.kr/shop_view/?idx=208&utm_source=home&utm_medium=main&utm_campaign=banner&utm_content=sunfiber_sub%20mo,
20231208,바이오컴,,https://biocom.kr/652,home,detail,banner,sub pc,,https://biocom.kr/652?utm_source=home&utm_medium=detail&utm_campaign=banner&utm_content=sub%20pc,
20231208,바이오컴,[바이오컴] 정기배송 상페배너 MO,https://biocom.kr/652,home,detail,banner,sub mo,,https://biocom.kr/652?utm_source=home&utm_medium=detail&utm_campaign=banner&utm_content=sub%20mo,
20231211,바이오컴,,https://biocom.kr/supplements/?idx=172,revu_clean,naver_blog_clean,post_claen,cleanbalance_exp,,https://biocom.kr/supplements/?idx=172&utm_source=revu_clean&utm_medium=naver_blog_clean&utm_campaign=post_claen&utm_content=cleanbalance_exp,
20231215,바이오컴,키슬 영양중금속 공동구매 링크,https://biocom.kr/mineraltest_store/?idx=6,group_purchase_kisle,group_purchase_kisle,group_purchase_kisle,group_purchase_kisle,,https://biocom.kr/mineraltest_store/?idx=6&utm_source=group_purchase_kisle&utm_medium=group_purchase_kisle&utm_campaign=group_purchase_kisle&utm_content=group_purchase_kisle,https://bit.ly/41v9k3h
20231215,바이오컴,[바이오컴]레뷰 뉴로마스터 체험단_혈행개선제,https://biocom.kr/supplements/?idx=198 ,revu_neuro,blog_neuro,post_neuro,neuromaster_exp,,https://biocom.kr/supplements/?idx=198 &utm_source=revu_neuro&utm_medium=blog_neuro&utm_campaign=post_neuro&utm_content=neuromaster_exp,
