alias_key,proposal_grade,proposal_status,proposed_campaign_id,proposed_campaign_name,source_row,date_iso,management_memo,landing_path,ledger_path_candidates,utm_source,utm_medium,utm_campaign,utm_content,channel_bucket,product_family_hint,audit_generated_at,audit_range,confidence,why_not_auto_confirm,next_action
meat_biocom_newyear_oganic2,B_alias_single_campaign_proposal,proposal_only_do_not_auto_confirm,120237452088280396,[바이오컴] 종합대사기능검사 전환캠페인(11/4~) - 사본,865,,메타광고_바이오컴_신년업데이트_종대사2,/organicacid_store?idx=259,/organicacid_store;/organicacidstore,meat_biocom_newyear_oganic2,meat_biocom_newyear_oganic2,meat_biocom_newyear_oganic2,meat_biocom_newyear_oganic2,meta_paid_or_meta_candidate,organicacid,2026-04-11T05:31:33.717Z,2026-04-04~2026-04-10,0.74,UTM 파일과 과거 Meta URL audit의 단일 캠페인 조인 근거다. 현재 Ads Manager/최근 주문 window 확인 전 manual_verified로 승격하지 않는다.,해당 alias 주문이 발생하면 Meta API URL evidence 또는 그로스팀 Ads Manager export로 숫자 ID 확인 후 승급
meta_GFA_acid,B_alias_single_campaign_proposal,proposal_only_do_not_auto_confirm,120237452088280396,[바이오컴] 종합대사기능검사 전환캠페인(11/4~) - 사본,1049,,메타광고_GFA소재_종대사,/organicacid_store?idx=259,/organicacid_store;/organicacidstore,meta_GFA_acid,meta_GFA_acid,meta_GFA_acid,meta_GFA_acid,meta_paid_or_meta_candidate,organicacid,2026-04-11T05:31:33.717Z,2026-04-04~2026-04-10,0.74,UTM 파일과 과거 Meta URL audit의 단일 캠페인 조인 근거다. 현재 Ads Manager/최근 주문 window 확인 전 manual_verified로 승격하지 않는다.,해당 alias 주문이 발생하면 Meta API URL evidence 또는 그로스팀 Ads Manager export로 숫자 ID 확인 후 승급
meta_GFA_mineral,B_alias_single_campaign_proposal,proposal_only_do_not_auto_confirm,120218496689750396,[바이오컴] 영양중금속검사 전환 캠페인,1050,,메타광고_GFA소재_영양중금속,/mineraltest_store?idx=6,/mineraltest_store;/mineralteststore,meta_GFA_mineral,meta_GFA_mineral,meta_GFA_mineral,meta_GFA_mineral,meta_paid_or_meta_candidate,mineral,2026-04-11T05:31:33.717Z,2026-04-04~2026-04-10,0.74,UTM 파일과 과거 Meta URL audit의 단일 캠페인 조인 근거다. 현재 Ads Manager/최근 주문 window 확인 전 manual_verified로 승격하지 않는다.,해당 alias 주문이 발생하면 Meta API URL evidence 또는 그로스팀 Ads Manager export로 숫자 ID 확인 후 승급
meta_GFA_neuro,B_alias_single_campaign_proposal,proposal_only_do_not_auto_confirm,120215102309650396,"[바이오컴] 건강기능식품 - 클린, 풍성, 바이오",1048,,메타광고_GFA소재_뉴로마스터,/shop_view?idx=198,/shop_view;/shopview,meta_GFA_neuro,meta_GFA_neuro,meta_GFA_neuro,meta_GFA_neuro,meta_paid_or_meta_candidate,supplements,2026-04-11T05:31:33.717Z,2026-04-04~2026-04-10,0.74,UTM 파일과 과거 Meta URL audit의 단일 캠페인 조인 근거다. 현재 Ads Manager/최근 주문 window 확인 전 manual_verified로 승격하지 않는다.,해당 alias 주문이 발생하면 Meta API URL evidence 또는 그로스팀 Ads Manager export로 숫자 ID 확인 후 승급
meta_IgGtest_cardnews_1,B_alias_single_campaign_proposal,proposal_only_do_not_auto_confirm,120213362391690396,[바이오컴] 음식물 과민증 검사 전환캠페인(10/14~),532,2024-10-14,음식물과민증검사_카드뉴스_1,/igg_store?idx=85,/igg_store;/iggstore,meta_IgGtest_cardnews_1,meta_IgGtest_cardnews_1,meta_IgGtest_cardnews_1,meta_IgGtest_cardnews_1,meta_paid_or_meta_candidate,igg,2026-04-11T05:31:33.717Z,2026-04-04~2026-04-10,0.74,UTM 파일과 과거 Meta URL audit의 단일 캠페인 조인 근거다. 현재 Ads Manager/최근 주문 window 확인 전 manual_verified로 승격하지 않는다.,해당 alias 주문이 발생하면 Meta API URL evidence 또는 그로스팀 Ads Manager export로 숫자 ID 확인 후 승급
meta_IgGtest_cardnews_2,B_alias_single_campaign_proposal,proposal_only_do_not_auto_confirm,120213362391690396,[바이오컴] 음식물 과민증 검사 전환캠페인(10/14~),533,2024-10-14,음식물과민증검사_카드뉴스_2,/igg_store?idx=85,/igg_store;/iggstore,meta_IgGtest_cardnews_2,meta_IgGtest_cardnews_2,meta_IgGtest_cardnews_2,meta_IgGtest_cardnews_2,meta_paid_or_meta_candidate,igg,2026-04-11T05:31:33.717Z,2026-04-04~2026-04-10,0.74,UTM 파일과 과거 Meta URL audit의 단일 캠페인 조인 근거다. 현재 Ads Manager/최근 주문 window 확인 전 manual_verified로 승격하지 않는다.,해당 alias 주문이 발생하면 Meta API URL evidence 또는 그로스팀 Ads Manager export로 숫자 ID 확인 후 승급
meta_IgGtest_cardnews_3,B_alias_single_campaign_proposal,proposal_only_do_not_auto_confirm,120213362391690396,[바이오컴] 음식물 과민증 검사 전환캠페인(10/14~),534,2024-10-14,음식물과민증검사_카드뉴스_3,/igg_store?idx=85,/igg_store;/iggstore,meta_IgGtest_cardnews_3,meta_IgGtest_cardnews_3,meta_IgGtest_cardnews_3,meta_IgGtest_cardnews_3,meta_paid_or_meta_candidate,igg,2026-04-11T05:31:33.717Z,2026-04-04~2026-04-10,0.74,UTM 파일과 과거 Meta URL audit의 단일 캠페인 조인 근거다. 현재 Ads Manager/최근 주문 window 확인 전 manual_verified로 승격하지 않는다.,해당 alias 주문이 발생하면 Meta API URL evidence 또는 그로스팀 Ads Manager export로 숫자 ID 확인 후 승급
meta_IgGtest_cardnews_4,B_alias_single_campaign_proposal,proposal_only_do_not_auto_confirm,120213362391690396,[바이오컴] 음식물 과민증 검사 전환캠페인(10/14~),535,2024-10-14,음식물과민증검사_카드뉴스_4,/igg_store?idx=85,/igg_store;/iggstore,meta_IgGtest_cardnews_4,meta_IgGtest_cardnews_4,meta_IgGtest_cardnews_4,meta_IgGtest_cardnews_4,meta_paid_or_meta_candidate,igg,2026-04-11T05:31:33.717Z,2026-04-04~2026-04-10,0.74,UTM 파일과 과거 Meta URL audit의 단일 캠페인 조인 근거다. 현재 Ads Manager/최근 주문 window 확인 전 manual_verified로 승격하지 않는다.,해당 alias 주문이 발생하면 Meta API URL evidence 또는 그로스팀 Ads Manager export로 숫자 ID 확인 후 승급
meta_IgGtest_teamekto_video_3,B_alias_single_campaign_proposal,proposal_only_do_not_auto_confirm,120213362391690396,[바이오컴] 음식물 과민증 검사 전환캠페인(10/14~),538,2024-10-14,음식물과민증검사_팀키토영상_3_충격적인 검사결과,/igg_store?idx=85,/igg_store;/iggstore,meta_IgGtest_teamekto_video_3,meta_IgGtest_teamekto_video_3,meta_IgGtest_teamekto_video_3,meta_IgGtest_teamekto_video_3,meta_paid_or_meta_candidate,igg,2026-04-11T05:31:33.717Z,2026-04-04~2026-04-10,0.74,UTM 파일과 과거 Meta URL audit의 단일 캠페인 조인 근거다. 현재 Ads Manager/최근 주문 window 확인 전 manual_verified로 승격하지 않는다.,해당 alias 주문이 발생하면 Meta API URL evidence 또는 그로스팀 Ads Manager export로 숫자 ID 확인 후 승급
meta_IgGtest_teamekto_video_4,B_alias_single_campaign_proposal,proposal_only_do_not_auto_confirm,120213362391690396,[바이오컴] 음식물 과민증 검사 전환캠페인(10/14~),539,2024-10-14,음식물과민증검사_팀키토영상_4_나만의감량템찾는법,/igg_store?idx=85,/igg_store;/iggstore,meta_IgGtest_teamekto_video_4,meta_IgGtest_teamekto_video_4,meta_IgGtest_teamekto_video_4,meta_IgGtest_teamekto_video_4,meta_paid_or_meta_candidate,igg,2026-04-11T05:31:33.717Z,2026-04-04~2026-04-10,0.74,UTM 파일과 과거 Meta URL audit의 단일 캠페인 조인 근거다. 현재 Ads Manager/최근 주문 window 확인 전 manual_verified로 승격하지 않는다.,해당 alias 주문이 발생하면 Meta API URL evidence 또는 그로스팀 Ads Manager export로 숫자 ID 확인 후 승급
