source_file,source_row,date_raw,date_iso,date_quality,brand,management_memo,landing_url_raw,landing_host,landing_path,landing_path_with_idx,landing_path_canonical,ledger_path_candidates,utm_source,utm_medium,utm_campaign,utm_content,utm_term,generated_url,short_url,primary_alias_key,primary_alias_field,alias_kind,channel_bucket,product_family_hint,suggested_mapping_grade,suggested_use,quality_flags,existing_mapping_status,existing_selected_campaign_id,existing_selected_campaign_name,existing_confidence,existing_review_reason
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,2,20231128,2023-11-28,yyyymmdd,바이오컴,노젝트 상우노출 원고작업,https://www.biocom.kr/mineraltest_store/?idx=6,biocom.kr,/mineraltest_store,/mineraltest_store?idx=6,mineralteststore,/mineraltest_store;/mineralteststore,naver,blog,noject,mineraltest_2311,,https://www.biocom.kr/mineraltest_store/?idx=6&utm_source=naver&utm_medium=blog&utm_campaign=noject&utm_content=mineraltest_2311,https://bit.ly/47RpQwr,noject,utm_campaign,non_meta_campaign_alias,naver_or_search_content,mineral,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,8,20231129,2023-11-29,yyyymmdd,바이오컴,다이어트 주아 영양중금속 랜딩페이지,https://biocom.kr/mineraltest_store/?idx=6,biocom.kr,/mineraltest_store,/mineraltest_store?idx=6,mineralteststore,/mineraltest_store;/mineralteststore,partner,group_purchase,group_purchase,diet_joo_ah_toxic,,https://biocom.kr/mineraltest_store/?idx=6&utm_source=partner&utm_medium=group_purchase&utm_campaign=group_purchase&utm_content=diet_joo_ah_toxic,,group_purchase,utm_campaign,non_meta_campaign_alias,influencer_group_purchase_non_meta,mineral,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,9,20231129,2023-11-29,yyyymmdd,바이오컴,[리마인드] 블랙프라이데이 crm 80%,https://biocom.kr/652,biocom.kr,/652,/652,652,/652,kakao,message,crm,black_friday_80_remind,,https://biocom.kr/652?utm_source=kakao&utm_medium=message&utm_campaign=crm&utm_content=black_friday_80_remind,,crm,utm_campaign,non_meta_campaign_alias,kakao_crm_or_ad,unknown,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,11,20231129,2023-11-29,yyyymmdd,더클린커피,https://biocom.kr/shop_view/?idx=173,https://thecleancoffee.com/thecleancoffee_store/?idx=23,thecleancoffee.com,/thecleancoffee_store,/thecleancoffee_store?idx=23,thecleancoffeestore,/thecleancoffee_store;/thecleancoffeestore,kakao,message,crm,black_friday_set_remind,,https://thecleancoffee.com/thecleancoffee_store/?idx=23&utm_source=kakao&utm_medium=message&utm_campaign=crm&utm_content=black_friday_set_remind,,crm,utm_campaign,non_meta_campaign_alias,kakao_crm_or_ad,unknown,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,12,20231205,2023-12-05,yyyymmdd,바이오컴,[바이오컴] 블프 로그인 이벤트 적립금 지급 완료,https://biocom.kr/shop_mypage/?m2=point_list,biocom.kr,/shop_mypage,/shop_mypage,shopmypage,/shop_mypage;/shopmypage,aligo,message,aligo,Login event_biocom,,https://biocom.kr/shop_mypage/?m2=point_list&utm_source=aligo&utm_medium=message&utm_campaign=aligo&utm_content=Login%20event_biocom,https://bit.ly/47Ggnsl,aligo,utm_campaign,non_meta_campaign_alias,other_utm,unknown,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,utm_content_has_space_or_korean,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,14,20231205,2023-12-05,yyyymmdd,바이오컴,[바이오컴] 썬파이버 정기구독 오픈 crm,https://biocom.kr/shop_view/?idx=208,biocom.kr,/shop_view,/shop_view?idx=208,shopview,/shop_view;/shopview,kakao,message,crm,sunfiber_sunscribe,,https://biocom.kr/shop_view/?idx=208&utm_source=kakao&utm_medium=message&utm_campaign=crm&utm_content=sunfiber_sunscribe,,crm,utm_campaign,non_meta_campaign_alias,kakao_crm_or_ad,unknown,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,15,20231208,2023-12-08,yyyymmdd,바이오컴,[바이오컴] 레뷰 바이오밸런스 체험단,https://biocom.kr/supplements/?idx=97,biocom.kr,/supplements,/supplements?idx=97,supplements,/supplements,revu_bio,naver_blog_bio,post_bio,biobalance_exp,,https://biocom.kr/supplements/?idx=97&utm_source=revu_bio&utm_medium=naver_blog_bio&utm_campaign=post_bio&utm_content=biobalance_exp,,post_bio,utm_campaign,non_meta_campaign_alias,naver_or_search_content,supplements,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,16,20231208,2023-12-08,yyyymmdd,바이오컴,[바이오컴] 썬파이버 정기배송 카테고리 배너 PC,https://biocom.kr/shop_view/?idx=208,biocom.kr,/shop_view,/shop_view?idx=208,shopview,/shop_view;/shopview,home,main,banner,sunfiber_sub pc,,https://biocom.kr/shop_view/?idx=208&utm_source=home&utm_medium=main&utm_campaign=banner&utm_content=sunfiber_sub%20pc,,banner,utm_campaign,non_meta_campaign_alias,other_utm,unknown,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,utm_content_has_space_or_korean,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,17,20231208,2023-12-08,yyyymmdd,바이오컴,[바이오컴] 썬파이버 정기배송 카테고리 배너 MO,https://biocom.kr/shop_view/?idx=208,biocom.kr,/shop_view,/shop_view?idx=208,shopview,/shop_view;/shopview,home,main,banner,sunfiber_sub mo,,https://biocom.kr/shop_view/?idx=208&utm_source=home&utm_medium=main&utm_campaign=banner&utm_content=sunfiber_sub%20mo,,banner,utm_campaign,non_meta_campaign_alias,other_utm,unknown,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,utm_content_has_space_or_korean,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,18,20231208,2023-12-08,yyyymmdd,바이오컴,,https://biocom.kr/652,biocom.kr,/652,/652,652,/652,home,detail,banner,sub pc,,https://biocom.kr/652?utm_source=home&utm_medium=detail&utm_campaign=banner&utm_content=sub%20pc,,banner,utm_campaign,non_meta_campaign_alias,other_utm,unknown,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,utm_content_has_space_or_korean,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,19,20231208,2023-12-08,yyyymmdd,바이오컴,[바이오컴] 정기배송 상페배너 MO,https://biocom.kr/652,biocom.kr,/652,/652,652,/652,home,detail,banner,sub mo,,https://biocom.kr/652?utm_source=home&utm_medium=detail&utm_campaign=banner&utm_content=sub%20mo,,banner,utm_campaign,non_meta_campaign_alias,other_utm,unknown,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,utm_content_has_space_or_korean,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,20,20231211,2023-12-11,yyyymmdd,바이오컴,,https://biocom.kr/supplements/?idx=172,biocom.kr,/supplements,/supplements?idx=172,supplements,/supplements,revu_clean,naver_blog_clean,post_claen,cleanbalance_exp,,https://biocom.kr/supplements/?idx=172&utm_source=revu_clean&utm_medium=naver_blog_clean&utm_campaign=post_claen&utm_content=cleanbalance_exp,,post_claen,utm_campaign,non_meta_campaign_alias,naver_or_search_content,unknown,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,21,20231215,2023-12-15,yyyymmdd,바이오컴,키슬 영양중금속 공동구매 링크,https://biocom.kr/mineraltest_store/?idx=6,biocom.kr,/mineraltest_store,/mineraltest_store?idx=6,mineralteststore,/mineraltest_store;/mineralteststore,group_purchase_kisle,group_purchase_kisle,group_purchase_kisle,group_purchase_kisle,,https://biocom.kr/mineraltest_store/?idx=6&utm_source=group_purchase_kisle&utm_medium=group_purchase_kisle&utm_campaign=group_purchase_kisle&utm_content=group_purchase_kisle,https://bit.ly/41v9k3h,group_purchase_kisle,utm_campaign,non_meta_campaign_alias,influencer_group_purchase_non_meta,mineral,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,22,20231215,2023-12-15,yyyymmdd,바이오컴,[바이오컴]레뷰 뉴로마스터 체험단_혈행개선제,https://biocom.kr/supplements/?idx=198,biocom.kr,/supplements,/supplements?idx=198,supplements,/supplements,revu_neuro,blog_neuro,post_neuro,neuromaster_exp,,https://biocom.kr/supplements/?idx=198 &utm_source=revu_neuro&utm_medium=blog_neuro&utm_campaign=post_neuro&utm_content=neuromaster_exp,,post_neuro,utm_campaign,non_meta_campaign_alias,other_utm,supplements,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,25,20231218,2023-12-18,yyyymmdd,바이오컴,[바이오컴]레뷰 뉴로마스터 체험단_브레인포그,https://biocom.kr/supplements/?idx=198,biocom.kr,/supplements,/supplements?idx=198,supplements,/supplements,revu_brainfog,blog_brainfog,post_brainfog,brainfog,,https://biocom.kr/supplements/?idx=198 &utm_source=revu_brainfog&utm_medium=blog_brainfog&utm_campaign=post_brainfog&utm_content=brainfog,,post_brainfog,utm_campaign,non_meta_campaign_alias,other_utm,supplements,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,26,20231218,2023-12-18,yyyymmdd,바이오컴,[바이오컴] 연말이벤트 crm,https://biocom.kr/supplementsmall,biocom.kr,/supplementsmall,/supplementsmall,supplementsmall,/supplementsmall,kakao_adieu,message_adieu,crm_adieu,gift_set_adieu,,https://biocom.kr/supplementsmall?utm_source=kakao_adieu&utm_medium=message_adieu&utm_campaign=crm_adieu&utm_content=gift_set_adieu,,crm_adieu,utm_campaign,non_meta_campaign_alias,kakao_crm_or_ad,unknown,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,27,20231218,2023-12-18,yyyymmdd,바이오컴,[바이오컴] 연말감사제 카테고리배너 pc,https://biocom.kr/supplementsmall,biocom.kr,/supplementsmall,/supplementsmall,supplementsmall,/supplementsmall,home,main,banner,gift set_pc,,https://biocom.kr/supplementsmall?utm_source=home&utm_medium=main&utm_campaign=banner&utm_content=gift%20set_pc,,banner,utm_campaign,non_meta_campaign_alias,other_utm,unknown,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,utm_content_has_space_or_korean,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,28,20231218,2023-12-18,yyyymmdd,바이오컴,[바이오컴] 연말감사제 카테고리배너 mo,https://biocom.kr/supplementsmall,biocom.kr,/supplementsmall,/supplementsmall,supplementsmall,/supplementsmall,home,main,banner,gift set_mo,,https://biocom.kr/supplementsmall?utm_source=home&utm_medium=main&utm_campaign=banner&utm_content=gift%20set_mo,,banner,utm_campaign,non_meta_campaign_alias,other_utm,unknown,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,utm_content_has_space_or_korean,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,29,20231218,2023-12-18,yyyymmdd,바이오컴,[바이오컴] 연말감사제 상페배너 pc,https://biocom.kr/supplementsmall,biocom.kr,/supplementsmall,/supplementsmall,supplementsmall,/supplementsmall,home,detail,banner,gift detail_pc,,https://biocom.kr/supplementsmall?utm_source=home&utm_medium=detail&utm_campaign=banner&utm_content=gift%20detail_pc,,banner,utm_campaign,non_meta_campaign_alias,other_utm,unknown,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,utm_content_has_space_or_korean,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,30,20231218,2023-12-18,yyyymmdd,바이오컴,[바이오컴] 연말감사제 상페배너 mo,https://biocom.kr/supplementsmall,biocom.kr,/supplementsmall,/supplementsmall,supplementsmall,/supplementsmall,home,detail,banner,gift detail_mo,,https://biocom.kr/supplementsmall?utm_source=home&utm_medium=detail&utm_campaign=banner&utm_content=gift%20detail_mo,,banner,utm_campaign,non_meta_campaign_alias,other_utm,unknown,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,utm_content_has_space_or_korean,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,31,20231218,2023-12-18,yyyymmdd,바이오컴,[바이오컴] 구매옵션 배너,https://biocom.kr/supplementsmall,biocom.kr,/supplementsmall,/supplementsmall,supplementsmall,/supplementsmall,home,detail,banner,gift option,,https://biocom.kr/supplementsmall?utm_source=home&utm_medium=detail&utm_campaign=banner&utm_content=gift%20option,,banner,utm_campaign,non_meta_campaign_alias,other_utm,unknown,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,utm_content_has_space_or_korean,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,36,20231219,2023-12-19,yyyymmdd,바이오컴,[바이오컴] 레뷰 영양중금속검사 체험단 1차,https://biocom.kr/mineraltest_store/?idx=6,biocom.kr,/mineraltest_store,/mineraltest_store?idx=6,mineralteststore,/mineraltest_store;/mineralteststore,revu_mineral_exp,blog_mineral_exp,post_mineral_exp,mineral_exp,,https://biocom.kr/mineraltest_store/?idx=6&utm_source=revu_mineral_exp&utm_medium=blog_mineral_exp&utm_campaign=post_mineral_exp&utm_content=mineral_exp,,post_mineral_exp,utm_campaign,non_meta_campaign_alias,other_utm,mineral,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,37,20231219,2023-12-19,yyyymmdd,바이오컴,[바이오컴] 레뷰 음식물과민증검사 체험단,https://biocom.kr/igg_store/?idx=85,biocom.kr,/igg_store,/igg_store?idx=85,iggstore,/igg_store;/iggstore,revu_igG,blog_igG,post_igG,igG_exp,,https://biocom.kr/igg_store/?idx=85&utm_source=revu_igg&utm_medium=blog_igg&utm_campaign=post_igG&utm_content=igG_exp,,post_igG,utm_campaign,non_meta_campaign_alias,other_utm,igg,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,39,20231221,2023-12-21,yyyymmdd,바이오컴,[바이오컴] 레뷰 영양중금속검사 체험단 1차,https://biocom.kr/mineraltest_store/?idx=6,biocom.kr,/mineraltest_store,/mineraltest_store?idx=6,mineralteststore,/mineraltest_store;/mineralteststore,revu_toxic_exp,blog_toxi_exp,blog_toxic_exp,toxic_exp,,https://biocom.kr/mineraltest_store/?idx=6&utm_source=revu_toxic_exp&utm_medium=blog_toxi_exp&utm_campaign=blog_toxic_exp&utm_content=toxic_exp,,blog_toxic_exp,utm_campaign,non_meta_campaign_alias,other_utm,mineral,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,ok,,,,,
